,text,edit_history_tweet_ids,created_at,author_id,id
0,What do you do when the object of your study becomes a threat to the study itself? https://t.co/gvwPqHM0Fo,['1594020218916917249'],2022-11-19T17:30:10.000Z,1344951,1594020218916917249
1,Some fans of AI art worry about the effect of removing guardrails from image generators. https://t.co/9TCbDmUTZm,['1594012712194940928'],2022-11-19T17:00:20.000Z,1344951,1594012712194940928
2,Anyone with a compatible iPhone has one more option for gaming controllers: Nintendo’s Joy-Cons. https://t.co/74aV8Nspcx,['1594005091350085637'],2022-11-19T16:30:03.000Z,1344951,1594005091350085637
3,"Having all the high-end tech in the world won't mean a thing if you don't have a comfy place to watch, play, or listen. These are our favorite couches right now. (From 2021) https://t.co/NCFVNgUGlx",['1593996763840618498'],2022-11-19T15:56:58.000Z,1344951,1593996763840618498
4,Subscribe toSubscribe to WIRED and get your first year of print and digital access for just $10 https://t.co/71w53KS4RM 6/6 https://t.co/zJZZnR4S5G,['1593993439074549762'],2022-11-19T15:43:45.000Z,1344951,1593993439074549762
5,"The Wandrd Prvke 2.0 Camera Bag with photo bundle for $259 ($65 off) is WIRED reviews editor @JulianChokkattu’s favorite camera bag, and the company just released a wave of fresh colors too. 📸: Wandrd 5/6 https://t.co/NRgtlTudDX https://t.co/GBOI5Y2QJK",['1593993407025872896'],2022-11-19T15:43:37.000Z,1344951,1593993407025872896
6,"At only 37 pounds and rather stealthy looking, you might forget the Propella 7S Electric Bike for $999 ($300 off) is even an ebike. At least until you feel the electric motor pushing you to a top speed of 18 miles per hour. 📸: Propella 4/6 https://t.co/bZ6wWaAWWe https://t.co/8KWRknjp3m",['1593993391540404224'],2022-11-19T15:43:34.000Z,1344951,1593993391540404224
7,"Google's Pixel 7 Android Smartphone for $499 ($100 off) has barely been out for a month and it's already on sale. You get speedy performance, a 90-Hz screen, wireless charging, daylong battery life, and one of the best cameras. 📸: Google 3/6 https://t.co/ZUEd6NK1HP https://t.co/8Dstby6uEm",['1593993381725683712'],2022-11-19T15:43:31.000Z,1344951,1593993381725683712
8,The Microsoft Surface Pro 8 for $890 ($110 off) is a great price for a fully kitted-out tablet. The Core i7 chipset and 32 gigs of RAM mean performance will be smooth as you juggle multiple apps at a time with no issues. 📸: Microsoft 2/6 https://t.co/shlJ8Aiz3a https://t.co/ME1VwNlOQy,['1593993369843388417'],2022-11-19T15:43:28.000Z,1344951,1593993369843388417
9,"Skip the Black Friday chaos and get in on these early tech deals. Some stores—notably Best Buy and Target—even offer price guarantees, so you can shop our affiliate links without worrying about missing out on even lower prices later. 1/6 https://t.co/dloxP2lJ8T",['1593993306970939393'],2022-11-19T15:43:14.000Z,1344951,1593993306970939393
10,Not sure where to begin? Here are a few Discord servers worth checking out: https://t.co/exidMgO1lC,['1593989995085242368'],2022-11-19T15:30:04.000Z,1344951,1593989995085242368
11,Machine learning is helping create previously unimaginable moments in media today. Let's examine how A.I. is changing Hollywood's creative workflow: https://t.co/hS7shtmhd4,['1593982430712676354'],2022-11-19T15:00:00.000Z,1344951,1593982430712676354
12,"If AI takes over too much of our relationships, then what are we really left with? https://t.co/xX866Un1Nv",['1593982179544924160'],2022-11-19T14:59:01.000Z,1344951,1593982179544924160
13,These jammies let you be the nighttime starlet of your dreams. https://t.co/HlrsY1HsGz,['1593974902452850688'],2022-11-19T14:30:06.000Z,1344951,1593974902452850688
14,"Across Asia, hundreds of thousands of people described as hikikomori have withdrawn from society. And Covid has made it worse. (From 2021) Via WIRED UK https://t.co/orHVt7jXvQ",['1593968891784359937'],2022-11-19T14:06:12.000Z,1344951,1593968891784359937
15,Here are the biggest misconceptions about NFTs. https://t.co/ABrIyCY42L,['1593953631392485379'],2022-11-19T13:05:34.000Z,1344951,1593953631392485379
16,"Not the truffles! A recently published scientific study has revealed new details about how climate change and more frequent droughts are affecting truffles—and skyrocketing prices: https://t.co/GjBaklcjlI

📸: Getty https://t.co/YWEYJKAEBI",['1593952373873213441'],2022-11-19T13:00:34.000Z,1344951,1593952373873213441
17,"Did you know that Customs and Border Protection copies data from the cell phones of as many as 10,000 people crossing the border every year? Now you know.  https://t.co/tdB4aeuD3Z",['1593938035518935041'],2022-11-19T12:03:36.000Z,1344951,1593938035518935041
18,"Seeing a number like $1,112,172,834 pop up on your phone screen seems impossible—but that's exactly what happened to our writer.  https://t.co/kn9faeEmoY",['1593922668981620736'],2022-11-19T11:02:32.000Z,1344951,1593922668981620736
19,"When it comes to issues like climate change, too many let the perfect become the enemy of the good, while the world burns. https://t.co/0XbcgY82RJ",['1593907455955705856'],2022-11-19T10:02:05.000Z,1344951,1593907455955705856
20,We really need a better system of preserving public knowledge. https://t.co/rL9ui5D3P7,['1593893805182394368'],2022-11-19T09:07:50.000Z,1344951,1593893805182394368
21,"Say hello to the physical roll-up chessboard that allows you to play anyone in the world using the power of the internet: https://t.co/v1mgS7Fv7V

📸 Square Off https://t.co/1v1ZqljkLn",['1593891934401363971'],2022-11-19T09:00:24.000Z,1344951,1593891934401363971
22,You won't get sick of these after level 4. https://t.co/xvkEh7dDQB,['1593878396525740036'],2022-11-19T08:06:37.000Z,1344951,1593878396525740036
23,Get the most out of your Android with a few setting changes. https://t.co/lt8ZNlk7gK,['1593862997839171584'],2022-11-19T07:05:25.000Z,1344951,1593862997839171584
24,"Are you a clodpate? Or maybe a dulpickle? Linguists Nicole Holliday and Ben Zimmer take a trip through the history of some popular slang words of the past, and discuss why some have fallen out of fashion while others have persevered. https://t.co/Wlhd4wUy31",['1593861635000569858'],2022-11-19T07:00:00.000Z,1344951,1593861635000569858
25,A small number of people appear naturally immune to the coronavirus. Scientists think they might hold the key to helping protect us all. https://t.co/SeneUFl9Cf,['1593847661991534592'],2022-11-19T06:04:29.000Z,1344951,1593847661991534592
26,"If you care about your data, or Google controlling the internet, then it might be time for a new browser. (From 2021) Via WIRED UK https://t.co/MORhk74Od2",['1593832588203925505'],2022-11-19T05:04:35.000Z,1344951,1593832588203925505
27,"Instead of carrying that frustratingly-sized vaccine card around, get it on your phone. (From 2021) https://t.co/R0sRqGGvZq",['1593817640283168769'],2022-11-19T04:05:11.000Z,1344951,1593817640283168769
28,"WIRED
Modular design allows for repair and upgrading. 3:2 screen ratio. Supports 64 GB RAM. Solid performance for the money. Nice keyboard. Did we mention it’s modular?

TIRED
Battery life could be better. https://t.co/9kJtHdwmcV",['1593802010792542211'],2022-11-19T03:03:05.000Z,1344951,1593802010792542211
29,"Why do sharks bite humans? How many species of sharks are there? 
@Curly_Biologist knows! Watch her answer here: https://t.co/Mn2RT41V09",['1593801241556983808'],2022-11-19T03:00:02.000Z,1344951,1593801241556983808
